Acronym,Definition,Source(s)
MCT,Mercury Cadmium Telluride detectors for mid-infrared light.,CDR-full.pdf page 514
MDH,Main Dump Hall,PPS_Requirements_(Electron_Beamlines).pdf page 3
MEC,Matter in Extreme Conditions Instrument,LCLSII-HE-1.5-ES-0647.pdf page 4
MEC,"Matter in Extreme Conditions; or the ""MEC"" instrument at LCLS",CDR-full.pdf page 514
MEI,Maximally Exposed Individual (for public dose estimates),Air_Ventilation.pdf page 3
MEI,Maximum Exposed Individual (for public dose estimates),Environmental_radiation_monitoring.pdf page 2
MEI,Maximum Exposed Individual,CDR-full.pdf page 514
MEI,Maximally Exposed Individual,Radiation_Protection_Requirements_for_the_Beam_Transport_Hall.pdf page 3
MEP,"Mechanical, Electrical, Plumbing",LCLSII-HE-1.6-SW-0773.pdf page 6
MEP,Mechanical Electrical Plumbing,CDR-full.pdf page 514
MFD,AD Mechanical Fabrication Department,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
MFD,Manufacturing Fabrication Department,LCLSII-HE-1.3-PP-0593.pdf page 4
MFD,Mechanical Fabrication Dept,EBD_&_BSY_RLCW_Installation_Plan.pdf page 7
MFD,Mechanical Fabrication Department,AD_Operations_to_LCLS-II_Undulator_Removal.pdf page 4
MFX,Macromolecular Femtosecond Crystallography,LCLSII-HE-1.6-RD-0438.pdf page 4
MFX,Macromolecular Femtosecond Crystallography Instrument,LCLSII-HE-1.4-ES-0182.pdf page 3
MFX,Macromolecular Femtosecond Crystallography instruments,LCLSII-HE-1.4-PR-0294.pdf page 3
MHE,Electrical Manhole,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
MHz,Megahertz,CDR-full.pdf page 514
MHz,Mega Hertz,Fire_Hazard_Analysis.pdf page 36
MIG,Memory Interface Generator,HPS_Common_Platform_Engineering_Specification.pdf page 4
MIP,Mandatory Inspection Point,Adjustable_Apertures__SOW.pdf page 2
MKSU,Modulator and Klystron Support Unit,RSS_Controls.pdf page 7
MLI,Multi-layer insulation,Tooling_FRS.pdf page 2
MLI,"Multi-Layer Insulation, or “superinsulation”, aluminized mylar wrapped in layers alternately with a conductively insulating material in the insulating vacuum space to block thermal radiation",1.3_GHz_Cryomodule_Technical_Description.pdf page 3
MLI,Multilayer Insulation,LCLS-II_2K_Cold_box_Assembly.pdf page 4
MLI,Multilayer insulation (“superinsulation”) used to block thermal radiation in vacuum systems; typically consists of multiple layer sheets of aluminized Mylar® and low conductivity spacer material,LCLSII-HE-1.3-TS-0393.pdf page 6
MLVDS,Multi-point Low Voltage Differential Signaling,HPS_Common_Platform_Engineering_Specification.pdf page 4
MM,Magnetic Measurements,LCLSII-HE-1.3-SW-0618.pdf page 4
MMF,Magnet Measurements Facility,Magnet_Power_Supply_Controls_Functional_Requirements_Specification.pdf page 2
MMF,Magnetic Measurements Facility,Undulator_Vacuum_Chamber.pdf page 3
MMF,Magnetic Measurement Facility,LCLSII-HE-1.3-PP-0527.pdf page 3
MMF,Magnet measurement facility,LCLS-II_Undulator_Motion_Control_Requirements.pdf page 3
MMF,Magnetic Measurement Facility (SLAC),Undulator_Segment_Functional_Requirements.pdf page 2
MMI,Multirole Monochromatic Instrument,XTES_to_Experimental_End_Stations.pdf page 3
MMO,Microwave Master Oscillator,LCLSII-HE-1.4-EN-0368.pdf page 2
MNS,Mission Need Statement,CDR-full.pdf page 514
MO,Master Oscillator,LCLS-II_PRL_Master_Source_Checkout_Procedure.pdf page 2
MOA,Memorandum Of Agreement,Systems_Engineering_Management_Plan.pdf page 5
"MOA dated November 8, 2013","Memorandum Of Agreement between SLAC, ANL, Cornell, Fermi, LBNL, JLAB for the LCLS-II Project",Systems_Engineering_Management_Plan.pdf page 5
MODE,Local/Remote Mode Status,Magnet_Power_Supply_Controls_Engineering_Specification.pdf page 12
MODS,Modular Optical Delivery System,LCLSII-HE-1.5-ES-0691.pdf page 3
MOT,Motor,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
MOU,Memorandum Of Understanding,Systems_Engineering_Management_Plan.pdf page 5
MP,Medium Pressure,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
MPC,Multi-Particle Coincidence,CDR-full.pdf page 515
MPE,Maximum Permissible Exposure,LCLSII-HE-1.5-FR-0711.pdf page 5
MPFL,Maximum Possible Fire Loss,Fire_Hazard_Analysis.pdf page 36
MPFPD,Menlo Park Fire Protection District,Fire_Hazard_Analysis.pdf page 36
MPH,Miles Per Hour,CDR-full.pdf page 515
MPMWD,Menlo Park Municipal Water District,Fire_Hazard_Analysis.pdf page 36
MPS,Machine Protection System. This is distinct from the Beam Containment System. It may perform similar actions and use the same sensors but is not a safety system.,Beam_Containment_Controls_PRD.pdf page 4
MPS,Machine Protection System,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
MPS,Machine protection system (damage by XFEL),LCLSII-HE-1.5-IC-0488.pdf page 5
MPS,Machine Protection Systems,LCLS-II_EIC_Faraday_Cup_Thermal_Analysis.pdf page 2
MPS,Machine Protection System (global system-wide equipment protection,SLAC_Injector_Source_Controls_to_LBNL_Injector_Source_Systems.pdf page 4
MPS,Machine Protection System Protects equipment from damage from the primary beam by interfacing to the Injector to limit beam rate or inhibit beam operations.,RSS_Controls.pdf page 7
MPS,Machine Protection System (Accelerator),XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
MR,Mission Readiness,LCLSII-HE-1.5-ES-0168.pdf page 3
MR,Manufacturer Records,HRS.00.00-SR-SLAC-SRR-5-Electrical_Report.pdf page 6
MRR,Manufacturing Readiness Review,LCLSII-HE-1.1-QA-0230.pdf page 5
MRT,Maximum response time,XTES_Photon_Machine_Protection_System_Functional_Requirements.pdf page 3
MSC,Mechanical Stay-Clear space … about 1.8 m long,LCLSII-HE-1.1-PR-0028.pdf page 3
MSS,Master Substation,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
MSY,Magnet Storage Yard,PPS_Requirements_(Electron_Beamlines).pdf page 3
MTBF,Mean Time Between Failure Mean time operating hours for a CMT sub-system failure that renders the CMT non-operational.,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
MTBF,Mean Time Between Failure is the average time for either a specific component failure or for an entire system or machine failure.,LCLS-II_Spares_Plan.pdf page 3
MTBF,Mean Time Between Failures,X-ray_Transport_and_Experimental_Systems_ESD.pdf page 5
MTBM,Mean Time Between Maintenance,LCLSII-HE-1.7-SW-0447.pdf page 23
MTBS,Mean Time Between Service Operational hours between required periodic maintenance not including battery charging.,LCLS_2_Cryomodule_Transporter_SOW.pdf page 3
MTCA,Micro Telecommunication Control Architecture,CDR-full.pdf page 515
MTL,Multi Transfer Line (Cryogenics),Engineering_Design_Services_for_Cold_Box_Room_Platform_Modifications.pdf page 3
MTTR,Mean Time To Repair is the average time needed to repair a specific failure or the average time for all repairs on a machine.,LCLS-II_Spares_Plan.pdf page 3
MUX,Multiplexer,HPS_Common_Platform_Engineering_Specification.pdf page 4
MV,Medium Voltage,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
MV,Megavolt,LCLSII-HE-1.2-TS-0206.pdf page 8
MVA,Mega-Volt-Ampere,CDR-full.pdf page 515
MW,Megawatt,LCLSII-HE-1.2-TS-0206.pdf page 8
Magnets,Power Supply Location,BCS_Magnet_Current_Monitor.pdf page 4
Manufacturer,PHPK Technologies Columbus / Ohio,Warm_Helium_Compressor_Installation__in_B905.pdf page 3
Manufacturer,ALATUS/ PHPK Technologies Columbus / Ohio,C1_4.5_K_CBX_Rigging_and_Installation.pdf page 3
Maximum Amplitude,"The highest amplitude at which a cavity can operate at for any amount of time, regardless of radiation level",LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
Mbps,Megabits per second,HPS_Common_Platform_Engineering_Specification.pdf page 4
MeV,Million electron Volts,CDR-full.pdf page 514
MeV,Mega electron volt,LCLSII-HE-1.2-TS-0206.pdf page 8
Mo,Molybdenum,LCLSII-HE-1.2-TS-0206.pdf page 8
ModBus,Modicon Communications Protocol,CDR-full.pdf page 515
Modbus RTU,Modbus remote terminal unit. Modbus is a serial communications protocol.,LCLS-II_Beam_Containment_System_PLC_Programming.pdf page 2
Mode,Destinations Allowed in Mode,LCLS-II-SC_Timing_System_Checkout_Procedure.pdf page 19
N2,Nitrogen,SLAC_FO_to_LCLSII_Infrastructure_Systems.pdf page 9
"N2, LN2, GN2","Nitrogen, Liquide Nitrogen, Gaseous Nitrogen",LCLSII-HE-1.2-TS-0206.pdf page 8
NAD,Network Access Device,HPS_Common_Platform_Functional_Requirements_Specification.pdf page 2
NARC,North SLC ARC tunnel,PPS_Requirements_(Electron_Beamlines).pdf page 3
NB,National Board of Boiler and Pressure Vessel Inspectors,LCLSII-HE-1.3-TS-0393.pdf page 6
NC,Noise Criteria,LCLSII-HE-1.6-RD-0366.pdf page 3
NC,Normal Conducting (Copper machine) beam,LCLS-II_RF_Cavity_BPM_SC_Mode_Firmware_SOW.pdf page 3
NC,Normally Closed,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 3
NC,Normally Closed Contact,ODH_Controls.pdf page 6
NCR,Non-conformance report,LCLSII-HE-1.1-PM-0083.pdf page 4
NCRF,Normal conducting RF,SLAC_to_LBNL_Injector.pdf page 2
NCRF,Normal Conducting Radio-Frequency,CDR-full.pdf page 515
NCRF,Normal Conducting Radio Frequency,Justification_of_the_VHF_Gun_RF_Amplifier_Technology_Selection.pdf page 1
NCRT,Nonconformance Review Team,LCLSII-HE-1.1-QA-0232.pdf page 7
NDE,Nondestructive Examination,LCLS-II_CDS_Distribution_Boxes_(DB)_Relief_Discharge_Piping.pdf page 7
NDR,North Damping Ring,PPS_Requirements_(Electron_Beamlines).pdf page 3
NDT,Non-Destructive Testing,Construction_Project_Safety_and_Health_Plan.pdf page 7
NEC,National Electrical Code,Sectors_0_to_9_Electrical_Work_Plan_for_Modulators_Relocation.pdf page 2
NEC,National Electric Code,LCLSII-HE-1.3-TS-0393.pdf page 6
NEG,Non-Evaporative Getter,CDR-full.pdf page 515
NEG,Non-Evaporable Getter,LCLSII-HE-1.5-FR-0478.pdf page 3
NEG Pump,Non Evaporated Getter Pump,Vacuum_System_Safety.pdf page 2
NEH,Near Experimental Hall,XTES_Shield.pdf page 3
NEH,Near Experiment Hall,L2SI-ES-0269.pdf page 3
NEH,Near Experimental Hall (at LCLS),CDR-full.pdf page 515
NEH,"Near Experimental Hall, building 950",XTES_Raytrace_Construction_Document_ESD.pdf page 3
NEH,Near Experimental Hall SLAC Building 950,LCLS-II_NEH_Reconfiguration_Independent_Cost_Estimate_(ICE)_Services_SOW.pdf page 3
NEMA,National Electrical Manufacturers Association,LCLSII-HE-1.3-TS-0393.pdf page 6
NEPA,National Environmental Protection Act,CDR-full.pdf page 515
NEPA,National Environmental Policy Act,Construction_Project_Safety_and_Health_Plan.pdf page 7
NETA,International Electrical Testing Association,Energy_Isolation_Plan-S0-10_Linac_Removal.pdf page 6
NF,Nanofocus,LCLSII-HE-1.4-PR-0214.pdf page 3
NFPA,National Fire Protection Agency,LERF_Cryogenic_Control_Rack_Fabrication_SOW.pdf page 3
NFPA,National Fire Protection Association,LCLSII-HE-1.3-TS-0393.pdf page 6
NFPA 70E,"National Fire Protection Agency 70E, Standard for Electrical Safety in the Workplace",LCLSII-HE-1.5-FR-0711.pdf page 5
NGLS,Next Generation Light Source (FEL proposal at LBNL),CDR-full.pdf page 515
NHPA,National Historic Preservation Act,CDR-full.pdf page 515
NIC,Network Interface Card,HPS_Common_Platform_Engineering_Specification.pdf page 4
NIR,Non-Ionizing Radiation,LCLSII-HE-1.5-FR-0711.pdf page 5
NIRP,Non-Ionizing Radiation Protection,LCLSII-HE-1.3-IR-0702.pdf page 3
NIRP,Non Ionizing Radiation Protection,LCLS-II_Beam_Containment_System_PLC_ESD.pdf page 3
NIRP,Non-ionizing Radiation Protection. Covers hazards not covered by Laser Safety Systems (RF and microwave).,RSS_Controls.pdf page 7
NIRP,Non-Ionizing Radiation Protection. Refers to all non-ionizing radiation protection interlocks that are not part of a LSS.,Radiation_Safety_System_Controls.pdf page 4
NIRP,Non-ionizing Radiation Protection system,LCLS-II_Beam_Containment_System_ESD.pdf page 5
NIRPS,Non-Ionizing Radiation Protection System,LCLSII-HE-1.1-QA-0230.pdf page 6
NIST,National Institute of Science and Technology,Construction_Project_Safety_and_Health_Plan.pdf page 7
NIST,National Institute of Standards and Technology,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
NIT,North Injection Transport,LCLSII-HE-1.3-PR-0022.pdf page 2
NIT,North Injector Terminal,PPS_Requirements_(Electron_Beamlines).pdf page 3
NLT,No Later Than,LCLSII-HE-1.6-SW-0358.pdf page 4
NML,New Muon Laboratory,CDR-full.pdf page 515
NMR,Nuclear Magnetic Resonance,CDR-full.pdf page 515
NO,Normally Open Contact,ODH_Controls.pdf page 6
NO,Normally Open,LCLS-II_General_Motion_and_Fast_Wire_Scanner_Controls_ESD.pdf page 4
NOM,Nanometer Optical Component Measuring Machine,Long_Trace_Optical_Profilometer.pdf page 2
NOM,Nanometric Optical Measuring Nanometer Optical Component Measuring Machine,XTES_MirrorMetrology.pdf page 2
NPDES,National Pollutant Discharge Elimination System,Construction_Project_Safety_and_Health_Plan.pdf page 7
NPH,Natural Phenomena Hazards,CDR-full.pdf page 515
NRTL,OSHA’s Nationally Recognized Testing Laboratory,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
NRTL,North Ring to Linac: This is a beamline extending from the North Damping Ring to the linac (at the DRIP). There is a branch tunnel housing this beamline that extends from the main linac tunnel to the NDR vault.,Linac_Removal_ICD.pdf page 6
NRTL,USA Nationally Recognized Testing Laboratory,LCLSII-HE-1.2-TS-0206.pdf page 8
NRTL,OHSA’s Nationally Recognized Testing Laboratory,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
NRTL,Nationally Recognized Testing Laboratory,LCLSII-HE-1.5-IC-0488.pdf page 5
NSF,National Science Foundation,CDR-full.pdf page 515
NSLS-II,National Synchrotron Light Source–II project,CDR-full.pdf page 515
NTP,Notice to Proceed,LCLSII-HE-1.6-SW-0433.pdf page 3
NW,Network,LCLS-II_Temperature_Monitoring_Controls_Checkout_Procedure.pdf page 2
NXI,Nanofocus X-ray Imaging instrument,LCLSII-HE-1.4-ES-0182.pdf page 3
Name,Meaning,LCLS-II_Cryomodule_Non-Expert_User_Manual.pdf page 2
Nb,Niobium,LCLSII-HE-1.2-TS-0206.pdf page 8
Ncomponent,Total number of required components for the machine to operate under standard configuration and performance.,LCLS-II_Spares_Plan.pdf page 4
Neo-CAPTAR,LCLS Cable Database,LCLSII-HE-1.5-IC-0488.pdf page 5
Nspares,Total number of expected spares for a given component,LCLS-II_Spares_Plan.pdf page 4
OD,Outer Diameter,XTES_Shield.pdf page 3
ODH,Oxygen Deficiency Hazard,Oxygen_Deficiency_Monitoring_Controls.pdf page 3
"ODH, ODM","Oxygen Deficiency Hazard, Oxygen Deficiency Monitor",LCLSII-HE-1.6-RD-0337.pdf page 3
ODHA,Oxygen Deficiency Hazard Analysis,ODHA_PM.pdf page 4
ODM,"Oxygen Deficiency Monitor Most often used to apply to the ODM system, a collection of oxygen concentration sensors, logic processing, and actuators such as emergency ventilation interfaces",Oxygen_Deficiency_Hazard_Engineering_Controls.pdf page 5
ODM,Oxygen Deficiency Monitor,Oxygen_Deficiency_Monitoring_Controls.pdf page 3
ODM,"Oxygen Deficiency Monitor Most often used to apply to the ODM system, a collection of O2 concentration sensors, logic processing, and emergency alerts or controls.",ODH_Controls.pdf page 6
OEG,The electrical subcontractor for the cryoplant equipment installation,Cryoplant_Electrical_Safety_Review_Plan.pdf page 5
OEL,Occupational Exposure Limit,Construction_Project_Safety_and_Health_Plan.pdf page 7
OEM,Original Equipment Manufacturer,LCLS-II_2K_Cold_box_Assembly.pdf page 4
OFE,Oxygen free electronic grade copper,3.9_GHz_Fundamental_Power_Coupler.pdf page 3
OFE,Oxygen Free Electronic,Halo_Collimator_Mechanical_Specifications.pdf page 3
OFHC,Oxygen Free High Conductivity copper,XTES_Photon_Stoppers.pdf page 4
OHD,Oxygen Hazard Deficiency,LCLSII-HE-1.1-QA-0230.pdf page 6
OK,OK,LCLS-II_Beamline_Pneumatic_Valves_Connection_and_Checkout_Travelers.pdf page 20
OK,FAULT,LCLS-II_Beamline_Pneumatic_Valves_Connection_and_Checkout_Travelers.pdf page 20
ON,OFF,Profile_Monitor_Test_Procedure.pdf page 7
ON,ON,Profile_Monitor_Test_Procedure.pdf page 7
OPC,Other Project Costs,CDR-full.pdf page 515
OPC,Other Project Costs is a part of the total project cost that includes R&D and commissioning as well as special process spares.,LCLS-II_Spares_Plan.pdf page 4
ORC,Operational Readiness Clearance,LCLSII-HE-1.3-TS-0393.pdf page 6
ORS,Oil Removal System,Warm_Helium_Compressor_Installation__in_B905.pdf page 3
OSC,Oscillator,HPS_Common_Platform_Engineering_Specification.pdf page 4
OSHA,Occupational Safety and Health Administration,LCLSII-HE-1.7-SW-0447.pdf page 23
OSHA,Occupational Safety and Health Agency,Cryoplant_GHe_Tanks_and_LN2_Dewar_Anchoring_and_Rigging.pdf page 3
OSHA,"Occupational Safety and Health Act, or Occupational Safety and Health Administration",Construction_Project_Safety_and_Health_Plan.pdf page 7
OTR,Optical Transition Radiation profile monitor,LCLSII-HE-1.3-PR-0022.pdf page 2
OTR,Optical Transition Radiation,LCLS-II_Profile_Monitor_Controls_Functional_Requirements.pdf page 2
OTR,Optical Transition Radiation – used to image the beam shape,Diagnostics.pdf page 1
P&ID,Process and Instrument Diagram,LCLS-II_Cryoplant_Interface.pdf page 4
P&ID,Process and Instrumentation Diagram,LCLSII-HE-1.7-SW-0447.pdf page 23
P&ID,Piping and Instrumentation Diagram,1.3_GHz_Cryomodule_Interlock_Requirements.pdf page 2
P-V,Peak-to-Valley,Gantry_and_Motion_System__for_Profilometry_SOW.pdf page 2
P-V,Peak to Valley,Long_Trace_Optical_Profilometer.pdf page 2
P-V,Peak to Valley (referred to the maximum amplitude of the error shape,XTES_KB_Mirrors.pdf page 2
P3,Physics of Photocathodes for Photoinjectors,CDR-full.pdf page 515
PA,Differential Pumping Aperture,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
PA,Public Address system,Linac_Removal_ICD.pdf page 6
PA,Power Amplifier,LCLS-II_PRL_Master_Source_Checkout_Procedure.pdf page 2
PAMM,Planned Access Machine Maintenance,LCLSII-HE-1.6-RD-0292.pdf page 3
PB,Pull Box,Electrical_Work_Plan_for_Temporary_Power_in_Sector_10.pdf page 2
PB,Panelboard,HRS.00.00-SR-SLAC-SRR-6-Electrical_Report.pdf page 5
PBLM,Point Beam Loss Monitor,LCLS-II_Beam_Containment_System_ESD.pdf page 5
PBLM,"Point beam loss monitor, used as a BCS device to limit beam power on a component",Beam_Containment_Controls_PRD.pdf page 4
PC,Photon Collimator,LCLSII-3.5-TS-0017_-_Photon_Source_and_Systems_Nomenclature.pdf page 6
PC1H,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC1S,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC2H,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC2S,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC3H,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC3S,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC4H,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC4S,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC5H,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PC5S,Photon Collimator,XTES_Stoppers_and_Collimators_Flow_Calculations.pdf page 4
PCAV,Phase Cavity,LCLSII-HE-1.4-EN-0368.pdf page 2
PCB,Printed Circuit Board,Beam_Containment_System_Software_Firmware_Configuration_Control_ESD.pdf page 2
PCB,Polychlorinated Biphenyl,Fire_Sprinkler_Overpressure_Solution.pdf page 3
PCDS,Photon Controls and Data Systems (Dept. within LCLS Directorate),LCLS-II_X-ray_Transport_and_Experimental_Systems_Controls_Engineering_Specifications.pdf page 4
